ccode,price
TTD,1.6919158123647597
TND,5.026489055023177
TRY,3.353344524128676
TMT,6.198204219387426
UGX,6.987433479397426
UAH,3.871811962190972
AED,8.869900020973269
USN,0.4341212218706778
UYU,7.927023644542094
UYI,5.478164617782031
UYW,1.541503768307507
UZS,7.52170830208848
VUV,3.0418918894235727
VES,0.1896196022139908
VND,6.878899123258632
YER,5.676475643570646
ZMW,7.587790467680383
ZWL,3.703769790871015
XBA,7.192291730826788
XBB,6.86263361174209
XBC,3.229859125155457
XBD,9.162764169546488
XTS,8.997765527804793
XXX,9.368900167608844
XAU,4.266833426492949
XPD,9.46249593036773
XPT,4.184953543400614
XAG,6.913490252782006
AFA,8.46621618570439
FIM,7.6295649813556965
ALK,1.9328374396853238
ADP,5.463862038558317
ESP,3.6979100582417823
AOK,9.13446699714625
AON,0.46643600111511446
AOR,8.488785570601184
ARA,9.630031604233672
ARP,5.956618915301892
ARY,7.304120861763162
RUR,0.9612149840596167
ATS,2.5221643602759958
AYM,1.3164395306530503
AZM,6.83266136721537
BYB,7.855798028841567
BYR,7.0977244402975135
BEC,5.92096711646788
BEF,9.302531746053726
BEL,1.0641874654833663
BOP,1.376562277175617
BAD,7.3761793103479265
BRB,1.3999878222588422
BRC,8.135379461603096
BRE,2.2406441188046347
BRN,0.748900210193568
BRR,2.2245567227305276
BGJ,2.722827343438479
BGK,1.622963054483515
BGL,7.756671823504537
BUK,3.720847885990713
HRD,4.494376337270806
CYP,1.917801483515138
CSJ,7.435266347004861
CSK,6.78822073312202
ECS,9.984918690748726
ECV,5.1392726844966585
GQE,4.090341849739278
EEK,5.643269844735802
XEU,2.6735497481826576
DDM,5.384597074097162
DEM,9.410629139610247
GHC,3.1567342749696072
GHP,6.647601899841708
GRD,3.9030182463822465
GNE,3.1059671247159053
GNS,4.720473842397443
GWE,0.8174372978549072
GWP,8.730352506677237
ITL,6.401131515484567
ISJ,0.8853414656793097
IEP,2.5671298621611505
ILP,9.361888302807204
ILR,8.155208054966108
LAJ,4.217062786737705
LVL,7.760983772520205
LVR,2.5475553172984053
LSM,9.813188235231951
ZAL,4.296968109974863
LTL,0.6629846572556963
LTT,2.2052512299747327
LUC,7.2090902848190375
LUF,6.1970229996827015
LUL,9.003844591557012
MGF,1.192391512727456
MVQ,9.949705975584152
MLF,1.643330047755346
MTL,3.823731193277922
MTP,0.04816401750970725
MRO,7.43416207317127
MXP,6.768873826779629
MZE,0.3189633391608864
MZM,6.681398986066086
NLG,8.342258066018637
NIC,3.5629179197277216
PEH,8.79067115690342
PEI,7.402718420467042
PES,9.101606264966914
PLZ,1.4136087385503595
PTE,8.107965075901703
ROK,3.0489680015130363
ROL,7.3787267779416235
CSD,3.455686954189019
SKK,8.550607480236936
SIT,7.044119280074751
RHD,8.994040733434735
ESA,1.844965166376197
ESB,4.568599894309556
SDD,2.114393448483756
SDP,7.282765080985326
CHC,3.6572380814834586
TJR,0.11272654871286977
TRL,9.186088566013167
TMM,4.093586510069106
UGS,8.933657183994924
UGW,6.4349559267132905
UAK,9.54886283249335
USS,8.277100226440723
UYN,0.7207268873976374
UYP,7.277376211080089
VNC,5.625627566041804
YDD,4.61353038312251
YUD,8.282930966998203
YUM,0.28940097435596424
ZRN,1.9574532895249905
ZMK,6.302490519895798
ZWC,6.004962640815639
ZWD,9.28150603298133
ZWN,2.9461824854244902
ZWR,9.662712172060905
XFO,7.201186497044095
XRE,3.2680801519351266
XFU,1.9780459864945257
GNF,0.5234761909869211
HTG,2.853571875685261
CHF,8.537176460618427
PEN,8.382064017556157
PLN,2.26165301917625
TOP,6.251959119982077
FRF,3.5778494583391236
GEK,5.667711846918731
STD,4.666262784662251
SRG,4.913624444723507
TPE,8.592450129471823
SUR,2.4602796748420874
VEB,3.568685945023011
YUN,7.888110854636904
ZRZ,6.996829911832892
VEF,0.09807565484616804
