orderid,mkt,itemcode,amount,curcode
390,XBUE,8876,35.578358,SKK
391,XBUE,756,86.48623,SIT
392,XBUE,4122,44.266563,ZAL
393,XBUE,7052,6.597067,SDG
394,XBUE,384,41.821785,RHD
395,XBUE,1431,43.19268,ESA
396,XBUE,5472,39.280174,ESB
397,XBUE,2338,11.524289,ESP
398,XBUE,6010,33.35266,SDD
399,XBUE,1389,92.76938,SDP
400,XBUE,4489,87.575035,SRG
401,XBUE,3227,92.559555,SZL
402,XBUE,9154,20.653767,CHC
403,XBUE,8201,26.854866,RUR
404,XBUE,7937,73.37786,TJR
405,XBUE,9723,24.113903,IDR
406,XBUE,8806,57.454037,TPE
407,XBUE,5133,20.148382,TRL
408,XBUE,8992,37.964962,TRY
409,XBUE,280,34.096004,RUR
410,XBUE,488,34.48089,TMM
411,XBUE,4253,73.90745,UGS
412,XBUE,6646,88.08768,UGW
413,XBUE,4465,81.33744,UAK
414,XBUE,7825,48.756454,SUR
415,XBUE,8850,31.127663,USS
416,XBUE,9283,23.126663,UYN
417,XBUE,6560,9.570842,UYP
418,XBUE,5835,85.252846,RUR
419,XBUE,5929,32.52335,VEB
420,XBUE,740,27.50318,VEF
421,XBUE,3678,77.94682,VEF
422,XBUE,865,65.81798,VEF
423,XBUE,6793,75.82943,VNC
424,XBUE,2226,55.81736,YDD
425,XBUE,2885,30.699778,YUD
426,XBUE,3347,65.55258,YUM
427,XBUE,4434,32.040134,YUN
428,XBUE,6975,7.5971193,ZRN
429,XBUE,6852,42.609646,ZRZ
430,XBUE,9025,15.923376,ZMK
431,XBUE,1748,37.695877,ZWC
432,XBUE,7501,52.442303,ZWD
433,XBUE,6204,69.35981,ZWD
434,XBUE,287,1.4641446,ZWN
435,XBUE,421,30.020597,ZWR
436,XBUE,8174,42.988945,XFO
437,XBUE,725,75.46692,XRE
438,XBUE,1353,59.700005,XFU
439,XNEC,2076,97.06315,AFN
440,XNEC,6689,3.8566523,EUR
441,XNEC,7635,13.208858,ALL
442,XNEC,4514,65.1313,DZD
443,XNEC,519,7.486345,USD
444,XNEC,751,89.609146,EUR
445,XNEC,2466,30.35157,AOA
446,XNEC,3375,21.688286,XCD
447,XNEC,8685,19.234655,XCD
448,XNEC,5157,79.107475,ARS
449,XNEC,7340,32.294167,AMD
450,XNEC,8913,68.31841,AWG
451,XNEC,3922,48.556602,AUD
452,XNEC,9831,78.563774,EUR
453,XNEC,857,3.6931565,AZN
454,XNEC,8652,97.069984,BSD
455,XNEC,1402,76.626816,BHD
456,XNEC,3593,43.21089,BDT
457,XNEC,3375,10.106111,BBD
458,XNEC,239,19.87034,BYN
459,XNEC,9439,95.21774,EUR
460,XNEC,6133,98.99569,BZD
461,XNEC,4402,40.48461,XOF
462,XNEC,7966,65.691696,BMD
463,XNEC,7957,7.290521,INR
464,XNEC,3383,85.24433,BTN
465,XNEC,9545,1.4567231,BOB
466,XNEC,2172,95.725716,BOV
467,XNEC,1127,72.12387,USD
468,XNEC,3486,7.230154,BAM
469,XNEC,6712,31.853426,BWP
470,XNEC,6053,83.24311,NOK
471,XNEC,3792,52.045715,BRL
472,XNEC,343,2.9607332,USD
473,XNEC,164,91.47443,BND
474,XNEC,680,94.47144,BGN
475,XNEC,8106,89.97209,XOF
476,XNEC,7284,2.902718,BIF
477,XNEC,9504,62.571033,CVE
478,XNEC,4422,91.965416,KHR
479,XNEC,4430,43.32306,XAF
480,XNEC,342,8.050328,CAD
481,XNEC,1388,60.767048,KYD
482,XNEC,6808,62.00203,XAF
483,XNEC,3715,75.17894,XAF
484,XNEC,4592,81.02482,CLP
485,XNEC,2145,65.60602,CLF
486,XNEC,9101,16.83557,CNY
487,XNEC,6750,19.480848,AUD
488,XNEC,8602,19.297071,AUD
489,XNEC,4963,94.51085,COP
490,XNEC,7279,7.888063,COU
491,XNEC,8991,71.77449,KMF
492,XNEC,9280,64.651215,CDF
493,XNEC,6953,67.34361,XAF
494,XNEC,8680,75.12815,NZD
495,XNEC,2216,49.42946,CRC
496,XNEC,4146,22.108423,XOF
497,XNEC,6684,42.60309,HRK
498,XNEC,8316,69.8455,CUP
499,XNEC,8799,41.16051,CUC
500,XNEC,6486,40.370197,ANG
501,XNEC,5380,16.4921875,EUR
502,XNEC,7059,53.33028,CZK
503,XNEC,4380,88.53819,DKK
504,XNEC,6290,78.06175,DJF
505,XNEC,9949,50.98525,XCD
506,XNEC,118,8.869086,DOP
507,XNEC,7238,63.593517,USD
508,XNEC,1754,67.453384,EGP
509,XNEC,4247,31.454628,SVC
510,XNEC,2260,10.787177,USD
511,XNEC,2885,49.154156,XAF
512,XNEC,7803,64.04646,ERN
513,XNEC,5752,10.210627,EUR
514,XNEC,6791,79.8219,SZL
515,XNEC,8224,61.20002,ETB
516,XNEC,9765,30.82254,EUR
517,XNEC,4314,30.846567,FKP
518,XNEC,2011,64.196014,DKK
519,XNEC,1835,77.58541,FJD
520,XNEC,1501,75.91409,EUR
521,XNEC,2860,37.017124,EUR
522,XNEC,9252,18.155338,EUR
523,XNEC,3839,94.33023,XPF
524,XNEC,9448,45.303646,EUR
525,XNEC,5896,25.285482,XAF
526,XNEC,7960,4.7775264,GMD
527,XNEC,1189,54.758396,GEL
528,XNEC,9743,76.37934,EUR
529,XNEC,4181,96.13838,GHS
530,XNEC,1002,77.14337,GIP
531,XNEC,2323,17.913261,EUR
532,XNEC,5679,94.0769,DKK
533,XNEC,6983,25.948761,XCD
534,XNEC,2561,49.816757,EUR
535,XNEC,1671,1.0451651,USD
536,XNEC,3079,45.82059,GTQ
537,XNEC,9496,65.17336,GBP
538,XNEC,5594,36.580963,GNF
539,XNEC,346,26.084307,XOF
540,XNEC,3729,17.04227,GYD
541,XNEC,5395,45.41117,HTG
542,XNEC,9202,3.6592877,USD
543,XNEC,5522,25.54919,AUD
544,XNEC,9457,64.46378,EUR
545,XNEC,9560,3.8047874,HNL
546,XNEC,6472,68.62082,HKD
547,XNEC,458,31.639664,HUF
548,XNEC,2900,2.0518167,ISK
549,XNEC,261,74.98703,INR
550,XNEC,2101,33.65407,IDR
551,XNEC,5698,85.12737,XDR
552,XNEC,3773,11.57456,IRR
553,XNEC,8041,30.108562,IQD
554,XNEC,5157,49.114307,EUR
555,XNEC,9643,99.35544,GBP
556,XNEC,8623,48.836258,ILS
557,XNEC,8251,99.01877,EUR
558,XNEC,3903,44.82046,JMD
559,XNEC,5164,10.794601,JPY
560,XNEC,8183,43.931377,GBP
561,XNEC,1165,5.4476004,JOD
562,XNEC,2667,39.226284,KZT
563,XNEC,9332,20.975319,KES
564,XNEC,6102,53.570606,AUD
565,XNEC,6518,59.52472,KPW
566,XNEC,6278,55.063198,KRW
567,XNEC,4242,74.92436,KWD
568,XNEC,9642,71.871086,KGS
569,XNEC,5290,87.370094,LAK
570,XNEC,4092,89.27013,EUR
571,XNEC,2551,55.92086,LBP
572,XNEC,8467,84.54101,LSL
573,XNEC,8822,49.88126,ZAR
574,XNEC,1353,71.19164,LRD
575,XNEC,7200,46.85353,LYD
576,XNEC,8062,33.043224,CHF
577,XNEC,3568,91.391685,EUR
578,XNEC,6773,3.5360763,EUR
579,XNEC,9056,95.44032,MOP
580,XNEC,3744,69.86526,MKD
581,XNEC,7142,67.48801,MGA
582,XNEC,6573,72.25451,MWK
583,XNEC,512,13.130145,MYR
584,XNEC,9500,71.12925,MVR
585,XNEC,1597,51.158527,XOF
586,XNEC,6280,6.840759,EUR
587,XNEC,1457,76.57829,USD
588,XNEC,350,82.7719,EUR
589,XNEC,4960,0.7768077,MRU
590,XNEC,1452,38.051712,MUR
591,XNEC,1187,83.54689,EUR
592,XNEC,1305,75.7678,XUA
593,XNEC,1245,47.619576,MXN
594,XNEC,5637,70.96531,MXV
595,XNEC,5440,19.620714,USD
596,XNEC,5209,25.563448,MDL
597,XNEC,2542,72.47229,EUR
598,XNEC,27,16.477701,MNT
599,XNEC,7029,84.79705,EUR
600,XNEC,6875,76.08436,XCD
601,XNEC,7781,5.5613065,MAD
602,XNEC,2390,77.66837,MZN
603,XNEC,9,62.86065,MMK
604,XNEC,6270,69.50881,NAD
605,XNEC,9364,79.068306,ZAR
606,XNEC,2433,37.12741,AUD
607,XNEC,6957,32.456165,NPR
608,XNEC,9535,36.030334,EUR
609,XNEC,5241,88.23091,XPF
610,XNEC,3929,8.893988,NZD
611,XNEC,845,13.140439,NIO
612,XNEC,7873,31.834839,XOF
613,XNEC,197,35.586887,NGN
614,XNEC,4221,46.91527,NZD
615,XNEC,9047,46.801292,AUD
616,XNEC,2501,75.1229,USD
617,XNEC,8047,77.68288,NOK
618,XNEC,9912,95.28764,OMR
619,XNEC,194,23.240051,PKR
620,XNEC,1063,85.61274,USD
621,XNEC,9456,91.561584,PAB
622,XNEC,7605,12.376549,USD
623,XNEC,4984,93.84644,PGK
624,XNEC,3401,84.58831,PYG
625,XNEC,6859,85.19445,PEN
626,XNEC,2793,45.501446,PHP
627,XNEC,43,45.32953,NZD
628,XNEC,2842,4.6754465,PLN
629,XNEC,1602,71.48923,EUR
630,XNEC,1771,9.123878,USD
631,XNEC,4730,3.2498517,QAR
632,XNEC,8729,95.864944,EUR
633,XNEC,6277,36.998943,RON
634,XNEC,756,56.873,RUB
635,XNEC,9446,56.510796,RWF
636,XNEC,2046,37.56701,EUR
637,XNEC,4039,67.762825,SHP
638,XNEC,5888,74.208916,XCD
639,XNEC,9904,82.71009,XCD
640,XNEC,8339,22.630304,EUR
641,XNEC,6632,77.888084,EUR
642,XNEC,94,62.41494,XCD
643,XNEC,443,62.02777,WST
644,XNEC,3362,17.179205,EUR
645,XNEC,3739,51.94616,STN
646,XNEC,5134,64.89639,SAR
647,XNEC,3297,41.1114,XOF
648,XNEC,6801,67.48252,RSD
649,XNEC,5114,61.97188,SCR
650,XNEC,3849,86.635925,SLL
651,XNEC,1061,96.281784,SGD
652,XNEC,8664,81.97305,ANG
653,XNEC,878,80.41303,XSU
654,XNEC,9094,41.578854,EUR
655,XNEC,7109,60.823284,EUR
656,XNEC,1752,49.200424,SBD
657,XNEC,5741,38.73023,SOS
658,XNEC,3761,82.18177,ZAR
659,XNEC,9222,36.84206,SSP
660,XNEC,5023,87.356575,EUR
661,XNEC,6814,78.71609,LKR
662,XNEC,1884,41.347916,SDG
663,XNEC,657,15.06983,SRD
664,XNEC,4291,41.739285,NOK
665,XNEC,3414,10.803863,SEK
666,XNEC,6180,49.595497,CHF
667,XNEC,3909,67.883934,CHE
668,XNEC,2976,98.88034,CHW
669,XNEC,6553,17.146727,SYP
670,XNEC,852,78.64085,TWD
671,XNEC,7569,88.27593,TJS
672,XNEC,6041,45.06779,TZS
673,XNEC,9854,64.30894,THB
674,XNEC,2118,95.80347,USD
675,XNEC,6233,56.875637,XOF
676,XNEC,8805,67.32586,NZD
677,XNEC,8920,78.8121,TOP
678,XNEC,2402,93.75165,TTD
679,XNEC,7457,6.8567414,TND
680,XNEC,2574,55.67508,TRY
681,XNEC,8398,95.52613,TMT
682,XNEC,7742,57.259487,USD
683,XNEC,3120,50.891098,AUD
684,XNEC,3443,83.070625,UGX
685,XNEC,6116,60.751427,UAH
686,XNEC,6677,96.331795,AED
687,XNEC,5816,31.109404,GBP
688,XNEC,5597,37.580257,USD
689,XNEC,1124,65.86677,USD
690,XNEC,8146,82.409874,USN
691,XNEC,112,74.489845,UYU
692,XNEC,2811,79.55482,UYI
693,XNEC,6483,20.53424,UYW
694,XNEC,983,77.090485,UZS
695,XNEC,3847,79.2179,VUV
696,XNEC,3985,45.076458,VES
697,XNEC,6640,70.31552,VND
698,XNEC,7608,23.326996,USD
699,XNEC,9408,19.081598,USD
700,XNEC,3630,31.399248,XPF
701,XNEC,3258,45.755856,MAD
702,XNEC,2519,63.625225,YER
703,XNEC,8846,71.74937,ZMW
704,XNEC,4986,46.099674,ZWL
705,XNEC,6319,79.48438,XBA
706,XNEC,6743,84.13143,XBB
707,XNEC,2910,39.392136,XBC
708,XNEC,2699,64.64505,XBD
709,XNEC,5937,51.965805,XTS
710,XNEC,4983,8.500385,XXX
711,XNEC,3685,28.66929,XAU
712,XNEC,92,83.744026,XPD
713,XNEC,4113,76.82844,XPT
714,XNEC,1918,27.811958,XAG
715,XNEC,2612,65.65079,AFA
716,XNEC,130,80.80525,FIM
717,XNEC,5839,96.68623,ALK
718,XNEC,5461,0.9103005,ADP
719,XNEC,7027,9.726964,ESP
720,XNEC,6643,98.385056,FRF
721,XNEC,6339,41.01912,AOK
722,XNEC,9569,66.89598,AON
723,XNEC,6757,9.566649,AOR
724,XNEC,802,73.14951,ARA
725,XNEC,1538,55.779156,ARP
726,XNEC,8315,69.88408,ARY
727,XNEC,6980,93.72431,RUR
728,XNEC,823,80.2618,ATS
729,XNEC,1471,25.454773,AYM
730,XNEC,1529,50.560177,AZM
731,XNEC,5655,69.69537,RUR
732,XNEC,6845,93.2661,BYB
733,XNEC,3901,75.08072,BYR
734,XNEC,8483,72.05105,RUR
735,XNEC,5708,18.596764,BEC
736,XNEC,4600,31.864723,BEF
737,XNEC,3711,65.181015,BEL
738,XNEC,6811,29.901024,BOP
739,XNEC,2349,8.618677,BAD
